"","billing.start","total_check","total.mod_check","total.debited","total.new.charge","delta"
"1",2015-07-24,243.9,243.92,243.9,243.9,-0.02
"2",2015-08-24,320.88,320.9,320.88,320.88,-0.02
"3",2015-09-24,396.96,396.93,326.96,396.96,0.03
"4",2015-10-24,272.93,272.95,272.93,272.93,-0.02
"5",2015-11-24,283.75,283.77,283.75,283.75,-0.02
"6",2015-12-24,276.13,276.15,276.13,276.13,-0.02
"7",2016-01-24,276.56,276.58,276.56,276.56,-0.02
"8",2016-02-24,273.77,273.79,273.77,273.77,-0.02
"9",2016-03-24,278.04,278.06,278.04,278.04,-0.02
"10",2016-04-24,286.89,286.91,286.89,286.89,-0.02
"11",2016-05-24,274.12,274.14,274.12,274.12,-0.02
"12",2016-06-24,254.32,254.32,254.32,254.32,0
"13",2016-07-24,254.15,254.15,254.15,254.15,0
"14",2016-08-24,273,273,273,273,0
"15",2016-09-24,272.34,272.34,272.34,272.34,0
